service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
SA_merged_113460559,20200920,20210109,0,0,0,0,0,1,0
WK_merged_113460553,20200419,20200919,1,1,1,1,1,0,0
SU_merged_113460560,20200920,20210109,0,0,0,0,0,0,1
SA_merged_113460554,20200419,20200919,0,0,0,0,0,1,0
WK_merged_113460558,20200920,20210109,1,1,1,1,1,0,0
FR_merged_113460552,20200419,20200919,0,0,0,0,1,0,0
FR_merged_113460557,20200920,20210109,0,0,0,0,1,0,0
SU_merged_113460555,20200419,20200919,0,0,0,0,0,0,1
MT_merged_113460556,20200920,20210109,1,1,1,1,0,0,0
MT_merged_113460551,20200419,20200919,1,1,1,1,0,0,0
