route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Longmont I-25 Express,3,FFFFFF,64A70B,RTD,LX2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,LX2
Longmont I-25 Express,3,FFFFFF,64A70B,RTD,LX1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,LX1
Flatiron Flyer,3,FFFFFF,005798,RTD,FF7,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF7
Flatiron Flyer,3,FFFFFF,005798,RTD,FF6,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF6
Flatiron Flyer,3,FFFFFF,005798,RTD,FF5,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF5
Flatiron Flyer,3,FFFFFF,005798,RTD,FF4,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF4
Flatiron Flyer,3,FFFFFF,005798,RTD,FF3,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF3
Flatiron Flyer,3,FFFFFF,005798,RTD,FF2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF2
Flatiron Flyer,3,FFFFFF,005798,RTD,FF1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF1
Hampden/Tower,3,FFFFFF,0076CE,RTD,133,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,133
East Iliff / Seven Hills,3,FFFFFF,0076CE,RTD,131,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,131
Yale / Buckley,3,FFFFFF,0076CE,RTD,130,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,130
Smoky Hill Road,3,FFFFFF,0076CE,RTD,135,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,135
Quincy Avenue,3,FFFFFF,0076CE,RTD,139,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,139
Boulder Junction/ Fairview H.S.,3,FFFFFF,0076CE,RTD,206S,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,206S
University Blvd,3,FFFFFF,0076CE,RTD,24,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,24
20th Avenue,3,FFFFFF,0076CE,RTD,20,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,20
Evans Avenue,3,FFFFFF,0076CE,RTD,21,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,21
Skyline Crosstown,3,FFFFFF,0076CE,RTD,323,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,323
Brighton / Denver,3,FFFFFF,64A70B,RTD,RX,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,RX
Riverbend,3,FFFFFF,0076CE,RTD,29,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,29
Union Station to Jefferson County Government Center-Golden Station,0,FFFFFF,009DAA,RTD,103W,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,W
South Broadway Limited,3,FFFFFF,0076CE,RTD,0L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,0L
South Broadway,3,FFFFFF,0076CE,RTD,0,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,0
Wildcat Crosstown,3,FFFFFF,0076CE,RTD,403,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,403
Morrison Road,3,FFFFFF,0076CE,RTD,4,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,4
Highlands Ranch/Mineral,3,FFFFFF,0076CE,RTD,401,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,401
Brighton / Denver,3,FFFFFF,64A70B,RTD,RC,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,RC
30th & Downing to 16th & Stout,0,000000,FFCE00,RTD,109L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,L
North Broadway / Huron,3,FFFFFF,0076CE,RTD,8,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,8
Boulder / Lafayette via Baseline,3,FFFFFF,0076CE,RTD,225D,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,225D
Golden / Boulder,3,FFFFFF,64A70B,RTD,GS,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,GS
RidgeGate Station to Peoria Station,0,000000,C4D600,RTD,107R,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,R
120th Avenue / Brighton,3,FFFFFF,0076CE,RTD,120,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,120
Peoria Street,3,FFFFFF,0076CE,RTD,121,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,121
Boulder / Longmont,3,FFFFFF,64A70B,RTD,BOLT,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,BOLT
Broomfield / Wagon Road,3,FFFFFF,0076CE,RTD,128,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,128
West Bowles,3,FFFFFF,0076CE,RTD,59,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,59
Highlands Ranch Parkway,3,FFFFFF,0076CE,RTD,402L,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,402L
Sheridan Blvd,3,FFFFFF,0076CE,RTD,51,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,51
