block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_228  2,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397249
a_228  1,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397248
a_228  2,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397247
a_228  1,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397246
a_228  2,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397245
a_228  1,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397244
a_228  2,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397243
a_228  1,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397242
a_228  2,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397241
a_228  1,228,0,Hecla/Kaylix,1156379,WK_merged_113460553,113397240
b_225  3,JUMP,1,Dwtn Boulder,1146718,SU_merged_113460560,113230034
b_JUMP  4,JUMP,1,Dwtn Boulder,1146718,SU_merged_113460560,113230035
b_116X 33,116X,0,Civic Center,1145794,WK_merged_113460558,113214908
b_JUMP  4,JUMP,1,Dwtn Boulder,1146718,SU_merged_113460560,113230037
b_JUMP  2,JUMP,0,Tech Ed Center,1146710,SU_merged_113460560,113230030
b_JUMP  2,JUMP,0,Tech Ed Center,1146710,SU_merged_113460560,113230031
b_225  3,JUMP,0,Lafayette PnR via Sir Galahad,1146712,SU_merged_113460560,113230032
b_225  3,JUMP,0,Lafayette PnR via Sir Galahad,1146712,SU_merged_113460560,113230033
b_113 32,113G,1,Wheat Ridge Ward Station,1145791,SU_merged_113460560,113214903
b_113  1,113B,1,Westminster Station,1145788,SU_merged_113460560,113214906
b_JUMP  2,JUMP,1,Dwtn Boulder,1146720,SU_merged_113460560,113230039
b_113 31,113G,1,Wheat Ridge Ward Station,1145791,SU_merged_113460560,113214904
b_113 35,113G,1,Wheat Ridge Ward Station,1145791,SU_merged_113460560,113214905
b_120X 98,120X,1,Union Station,1145822,WK_merged_113460558,113215277
b_128  6,128,0,Wagon Road via Westlake,1145850,WK_merged_113460558,113215776
a_0  9,0,0,Union Station,1155891,SU_merged_113460555,113388157
a_0  4,0,0,Union Station,1155881,SU_merged_113460555,113388156
a_0  5,0,0,Union Station,1155891,SU_merged_113460555,113388155
a_0 10,0,0,Union Station,1155891,SU_merged_113460555,113388154
a_0  3,0,0,Union Station,1155872,SU_merged_113460555,113388153
a_0  5,0,0,Union Station,1155872,SU_merged_113460555,113388152
a_0  1,0,0,Union Station,1155872,SU_merged_113460555,113388151
a_0  3,0,0,Union Station,1155891,SU_merged_113460555,113388150
a_0  2,0,0,Union Station,1155892,SU_merged_113460555,113388159
a_0 11,0,0,Union Station,1155891,SU_merged_113460555,113388158
b_101 53,101H,0,H-Line 18th & California,1145665,SU_merged_113460560,113238711
b_101 33,101E,0,E-Line Union Station,1145670,SU_merged_113460560,113238710
b_101 55,101H,0,H-Line 18th & California,1145665,SU_merged_113460560,113238713
b_101 51,101H,0,H-Line 18th & California,1145665,FR_merged_113460557,113237565
b_101 33,101E,0,E-Line Union Station,1145670,FR_merged_113460557,113237564
b_101 14,101D,0,D-Line 18th & California,1145669,FR_merged_113460557,113237563
b_101 53,101H,0,H-Line 18th & California,1145665,SU_merged_113460560,113238638
b_101  4,101C,0,C-Line Union Station,1145674,FR_merged_113460557,113237561
b_101 37,101E,0,E-Line Union Station,1145670,FR_merged_113460557,113237560
b_101 56,101H,0,H-Line 18th & California,1145665,SU_merged_113460560,113238715
b_101 32,101E,0,E-Line Union Station,1145670,SU_merged_113460560,113238639
b_101 16,101D,0,D-Line 18th & California,1145669,FR_merged_113460557,113237569
b_101 33,101E,0,E-Line Union Station,1145670,SU_merged_113460560,113238714
b_101 35,101E,0,E-Line Union Station,1145670,SU_merged_113460560,113238717
b_101  3,101C,0,C-Line Union Station,1145674,SU_merged_113460560,113238716
b_101 56,101H,0,H-Line 18th & California,1145665,SU_merged_113460560,113238632
b_101 31,101E,0,E-Line Union Station,1145670,SU_merged_113460560,113238633
b_16  8,16,1,Golden,1145934,WK_merged_113460558,113218429
b_16 11,16,1,Federal Center,1145940,WK_merged_113460558,113218428
b_153  6,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217349
b_153  2,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217348
b_113  2,113B,0,Union Station,1145780,FR_merged_113460557,113214208
b_153  6,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217341
b_153  6,153,1,Arapahoe Crossing,1150789,SA_merged_113460559,113217340
b_153  3,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217343
b_153  4,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217342
b_153  3,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217345
b_153  7,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217344
b_153  5,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217347
b_153  7,153,1,Arapahoe Station,1147222,SA_merged_113460559,113217346
